sample_idx,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
148,0.0,0.0,0.0,0.0,6.085210441457983,5.317067263035548,12.496851992577813,10.30605556931487
149,-2.4659423828125,-7.423828125,-16.0166015625,-13.056655883789062,1.241225651397455,1.07567697608495,0.9403896176220027,1.293370153119467
150,-2.6365890502929688,-9.614524841308594,-17.651077270507812,-14.827461242675781,0.9060151178864784,-0.17591446942764918,-0.2389340328205594,0.07102717533031325
151,-2.636449098587036,-9.614842414855957,-17.649877548217773,-14.827305793762207,0.9062900326369632,-0.1760959059232818,-0.2380683969082761,0.07113447785622827
152,-2.6371002197265625,-9.611526489257812,-17.647085189819336,-14.824447631835938,0.9050109999562582,-0.1742014473787932,-0.23605362588191253,0.07310739607811365
153,-2.636932373046875,-9.61138916015625,-17.6495361328125,-14.82476806640625,0.9053407103214052,-0.17412298835365478,-0.2378220553688505,0.0728862080492336
154,-2.717315673828125,-9.668472290039062,-17.841873168945312,-14.944526672363281,0.7474394190855823,-0.20673578980286672,-0.37659904327766514,-0.009780184553862209
155,-2.714813232421875,-9.66407299041748,-17.841283798217773,-14.941508293151855,0.7523551008932274,-0.2042223767267304,-0.3761737944749695,-0.00769667231753681
156,-2.7177734375,-9.664851188659668,-17.843185424804688,-14.940815925598145,0.7465402089988179,-0.20466697786918156,-0.3775458755632786,-0.007218748183706719
157,-2.7216796875,-9.673538208007812,-17.837646484375,-14.94317626953125,0.738866949591762,-0.2096300560635292,-0.3735493625437705,-0.00884803500358203
158,-3.2911376953125,-11.449381828308105,-16.94862937927246,-15.82854175567627,-0.37975039834311064,-1.224207138865382,0.26790336297473805,-0.6199938502876639
159,-3.293243408203125,-11.469014167785645,-16.939971923828125,-15.84504222869873,-0.3838867647422267,-1.2354235103341316,0.27414997888229564,-0.6313837171795761
160,-3.427001953125,-12.191314697265625,-17.274017333984375,-16.168060302734375,-0.6466359520947748,-1.648089105282245,0.033126113804963664,-0.8543550745424637
161,-3.28912353515625,-8.834442138671875,-17.610092163085938,-15.230392456054688,-0.37579387396134745,0.26976330520180464,-0.2093620384117473,-0.20710623822305996
162,-3.2704365253448486,-8.774189949035645,-17.575265884399414,-15.20411205291748,-0.3390859638621264,0.30418665762695435,-0.18423382518061834,-0.18896552836637148
163,-3.264739990234375,-8.766072273254395,-17.5789794921875,-15.197418212890625,-0.3278959500063655,0.3088244577795822,-0.18691330550051583,-0.1843449367749756
164,-3.316253662109375,-8.9210205078125,-17.64666748046875,-15.28076171875,-0.4290870584369156,0.22029924868674752,-0.23575223595378847,-0.2418748898103466
165,-2.5070953369140625,-7.3761444091796875,-17.917678833007812,-14.990211486816406,1.1603866645973384,1.1029196931469087,-0.4312951222884538,-0.04131527781418824
166,-2.5095012187957764,-7.33562707901001,-17.905176162719727,-14.984538078308105,1.15566065991737,1.1260681022616257,-0.42227406759049385,-0.03739906476714249
167,-2.5087432861328125,-7.3386077880859375,-17.90520668029785,-14.981953620910645,1.1571495082849867,1.1243651600180826,-0.4222960869459732,-0.03561507798659215
168,-2.503509521484375,-7.4069671630859375,-17.927703857421875,-14.997146606445312,1.1674304769436592,1.0853100008380587,-0.43852848056343124,-0.046102418724949155
169,-3.759490966796875,-8.777729988098145,-17.724945068359375,-14.94286060333252,-1.2997622117812935,0.3021641583122745,-0.29223188275840717,-0.008630138463226989
